make,description,model,type,DEPT,CATEGORY,SIZE,PACK_QTY,COST,PRICE,available,vendor,REORDER_NO,MIN_ORDER
SSL,"SSL 6.2"" CARPLAY UNIT ONLY",DDCP62,STANDARD,HEAD UNIT,,,1,159.99,259.99,0,SANTA FE,,
METRA,FORD MULTI KIT,955600,STANDARD,INSTALL,,,1,7.47,29.99,2,SANTA FE,,
METRA,99-2001 LINCOLN CONTENTIAL,955809,STANDARD,INSTALL,,,1,10,29.99,1,SANTA FE,,
PIONEER,PIONEER CD PLAYER AUX,DEH150MP,STANDARD,HEAD UNIT,,,1,56,79.99,0,PIONEER,,
PIONEER,PIONEER BLUETOOTH RECIEVER,DEHS21BT,STANDARD,HEAD UNIT,,,1,70,119.99,2,WALMART,,
PIONEER,PIONEER CD BLUETOOTH SINGLEDIN,DEHS31BT,STANDARD,HEAD UNIT,,,1,81,129.99,-2,WALMART,,
PIONEER,PIONEER CD USB BLUETOOTH,DEHS4000BT,STANDARD,HEAD UNIT,,,1,45,99.99,1,PIONEER,,
PIONEER,PIONEER CD USB BLUETOOTH,DEHS401BT,STANDARD,HEAD UNIT,,,1,70,89.99,0,PIONEER,,
PIONEER,PIONEER CD BLUETOOTH  USB,DEHS5200BT,STANDARD,HEAD UNIT,,,1,85,109.99,0,PIONEER,,
PIONEER,PIONEER CD BLUETOOTH,DEHS6010BS,STANDARD,HEAD UNIT,,,1,93.6,119.99,0,PIONEER,,
PIONEER,PIONEER CD USB AUX,DEHX2800UI,STANDARD,HEAD UNIT,,,1,72,89.99,0,PIONEER,,
PIONEER,PIONEER CD USB AUX,DEHX2900UI,STANDARD,HEAD UNIT,,,1,68,89.99,0,PIONEER,,
PIONEER,PIONEER CD USB COLOR CHANGING,DEHX3800UI,STANDARD,HEAD UNIT,,,1,80,99.99,0,PIONEER,,
PIONEER,PIONEER CD/AUX/USB/BT,DEHX4900BT,STANDARD,HEAD UNIT,,,1,88,109.99,0,,,
PIONEER,PIONEER CD BLUETOOTH,DEHX6800BS,STANDARD,HEAD UNIT,,,1,90,119.99,0,PIONEER,,
PIONEER,PIONEER BLUETOOTH USB MIRROR,DMH130BT,STANDARD,HEAD UNIT,,,1,0,299.99,-1,WALMART,,
PIONEER,PIONEER CARPLAY USB MIRROR,DMH160BT,STANDARD,HEAD UNIT,,,1,266.81,429.99,0,WALMART,,
PIONEER,PIONEER CARPLAY ANDROID AUTO,DMH1770NEX,STANDARD,HEAD UNIT,,,1,263.67,349.99,0,PIONEER,,
PIONEER,"PIONEER 6.8"" CARPLAY",DMH2000NEX,STANDARD,HEAD UNIT,,,1,0,369.99,1,PIONEER,,
PIONEER,PIONEER AV RECEIVER,DMH220EX,STANDARD,HEAD UNIT,,,1,120,169.99,0,PIONEER,,
PIONEER,"PIONEER 6.2"" USB MIRRORING",DMH241EX,STANDARD,HEAD UNIT,,,1,150,249.99,0,PIONEER,,
PIONEER,"PIONEER 6.8"" USB MIRRORING",DMH341EX,STANDARD,HEAD UNIT,,,1,201.47,299.99,2,PIONEER,,
PIONEER,PIONEER NEX MEDIA PLAYER,DMHC2550NEX,STANDARD,HEAD UNIT,,,1,328,449.99,0,PIONEER,,
PIONEER,"PIONEER 8"" MULTIMEDIA UNIT",DMHC5500NEX,STANDARD,HEAD UNIT,,,1,475,649.99,1,PIONEER,,
PIONEER,PIONEER 6.2 WIRELESS CARPLAY/A,DMHW2700NEX,STANDARD,HEAD UNIT,,,1,279.99,429.99,0,PIONEER,,
PIONEER,"PIONEER 6.8"" CARPLAY",DMHW3000NEX,STANDARD,HEAD UNIT,,,1,0,399.99,1,PIONEER,,
PIONEER,"PIONEER 6.8"" WIRELESS CARPLAY",DMHWC5700NEX,STANDARD,HEAD UNIT,,,1,542.29,799.99,1,PIONEER,,
PIONEER,PIONEER MULTIMEDIA PLAYER,DMHWT3800NEX,STANDARD,HEAD UNIT,,,1,584,699.99,2,PIONEER,,
PIONEER,"PIONEER 6.8"" WIRELESS CARPALY",DMW3050NEX,STANDARD,HEAD UNIT,,,1,0,449.99,1,PIONEER,,
METRA,FORD MULTI KIT,955812,STANDARD,INSTALL,,,1,9.59,34.99,3,SANTA FE,,
METRA,955817 KT,955817,STANDARD,INSTALL,,,1,0,29.99,0,SANTA FE,,
KENWOOD,COMPONENT SPEAKER SET,KFCXP6902C,STANDARD,SPEAKER,,,1,115,229.99,0,KENWOOD,,
KENWOOD,COMPONENT SPEAKER SET,KFCXP6903C,STANDARD,SPEAKER,,,1,115,229.99,0,KENWOOD,,
METRA,FORD 97 UP DDIN KIT,955818,STANDARD,INSTALL,,,1,7.47,29.99,3,SANTA FE,,
METRA,07-UP JEEP MULTI-KIT,956511,STANDARD,INSTALL,,,1,6.48,29.99,2,SANTA FE,,
KENWOOD,DD USB ANDR MIRRORING,DMX125BT,STANDARD,HEAD UNIT,,,1,165,279.99,0,KENWOOD,,
KENWOOD,DD CD BT USB HU,DPX795BH,STANDARD,HEAD UNIT,,,1,140,239.99,2,KENWOOD,,
KENWOOD,DD CD BLUETHOOTH,DPX593BT,STANDARD,HEADUNIT,,,1,100,169.99,0,KENWOOD,,
METRA,HYUNDI/KIA DDKIT,957313,STANDARD,INSTALL,,,1,6.81,29.99,1,,,
METRA,METRA HYUNDAI SONOTA KIT 06-08,957320,STANDARD,INSTALL,,,1,6.5,24.99,0,SANTA FE,,
KENWOOD,DD DIN DVD BLUETOOTH,DDX396,STANDARD,VIDEO,,,1,200,329.99,1,KENWOOD,,
METRA,HYUNDAI AZERA KIT 06-11 DDIN,957322,STANDARD,INSTALL,,,1,7.04,29.99,0,SANTA FE,,
KENWOOD,DDIN CD PLAYER,DPX505BT,STANDARD,HEAD UNIT,,,1,100,179.99,0,KENWOOD,,
METRA,DODGE RAM KIT 13UP,956518B,STANDARD,INSTALL,,,1,12.8,39.99,2,SANTA FE,,
METRA,DODGE RAM 02-05 DDIN KIT,956522B,STANDARD,INSTALL,,,1,29.67,69.99,0,SANTA FE,,
METRA,DODGE RAM DD KIT 06-10,956528B,STANDARD,INSTALL,,,1,14,39.99,1,SANTA FE,,
JVC,JVC CD BLUETOOTH RADIO,KDSR86BT,STANDARD,HEAD UNIT,,,1,84,129.99,0,WALMART,,
JVC,JVC SINGLE DIN BLUETOOTH,KDSX26BT,STANDARD,HEAD UNIT,,,1,64,109.99,0,WALMART,,
METRA,DODGE DD KIT,956533B,STANDARD,INSTALL,,,1,19.99,39.99,0,SANTA FE,,
METRA,DODGE DD KIT,956534B,STANDARD,INSTALL,,,1,22.5,49.99,0,SANTA FE,,
METRA,KIA RANDO DDIN KIT,957329,STANDARD,INSTALL,,,1,9.4,29.99,0,SANTA FE,,
METRA,DODGE DD KIT 05-07,996519B,STANDARD,INSTALL,,,1,48.76,109.99,1,SANTA FE,,
METRA,MAZDA 3 04-09  DDIN KIT,957504,STANDARD,INSTALL,,,1,14.5,34.99,0,SANTA FE,,
JBL,"JBL 7"" WIRELESS CARPLAY RECIEV",LEGEND700,STANDARD,HEAD UNIT,,,1,180,299.99,3,JBL,,
JENSEN,JENSEN BLUETOOTH COLOR CHANGE,MPR2121,STANDARD,HEAD UNIT,,,1,30,69.99,0,JENSEN,,
PIONEER,PIONEER BLUETOOTH SINGLE DIN,MVHS21BT,STANDARD,HEAD UNIT,,,1,55,109.99,0,WALMART,,
PIONEER,PIONEER USB BLUETOOTH HEADUNIT,MVHS312BT,STANDARD,HEAD UNIT,,,1,64,79.99,0,PIONEER,,
PIONEER,PIONEER BT USB RECEIVER,MVHS320BT,STANDARD,HEAD UNIT,,,1,70,119.99,0,PIONEER,,
PIONEER,PIONEER BLUETOOTH USB HEADUNIT,MVHS322BT,STANDARD,HEAD UNIT,,,1,64,79.99,0,PIONEER,,
PLANET AUDIO,"PLANET AUDIO 7"" CARPLAY ANDROI",P70CPA,STANDARD,HEAD UNIT,,,1,4,199.99,1,PLANET AUDIO,,
METRA,NISSAN VERSA DDIN KIT,957621,STANDARD,INSTALL,,,1,12.82,34.99,0,SANTA FE,,
SONY,SONY 6.95 WIRELESS CARPLAY AND,XAVAX4000,STANDARD,HEAD UNIT,,,1,300,449.99,0,SONY,,
SONY,"SONY 7"" CARPLAY/ANDROID 20W X4",XAVAX5000,STANDARD,HEAD UNIT,,,1,266.39,399.99,0,SONY,,
SONY,"SONY 7"" CARPLAY",XAVAX5500,STANDARD,HEAD UNIT,,,1,340,499.99,0,SONY,,
SONY,"SONY 9"" CARPLAY",XAVAX8100,STANDARD,HEAD UNIT,,,1,532,749.99,0,SONY,,
METRA,HONDA 90+ MULTI KIT,957801,STANDARD,INSTALL,,,1,7.47,34.99,1,SANTA FE,,
DUAL,"DUAL 10"" CARPLAY ANDROID AUTO",XDCPA11BT,STANDARD,HEAD UNIT,,,1,210,399.99,0,WALMART,,
DUAL,"DUAL 7"" FLIP OUT DVD PLAYER",XDVD179BT,STANDARD,HEAD UNIT,,,1,40,119.99,1,WALMART,,
METRA,HONDA ACCORD DDIN KIT,957862,STANDARD,INSTALL,,,1,15,39.99,0,SANTA FE,,
PIONEER,PIONEER NEX DD DVD,AVH2300NEX,STANDARD,HEADUNIT,,,1,365,499.99,0,PIONEER,,
JENSEN,JENSEN CARPLAY DVD 10'',CAR8000,STANDARD,HEADUNIT,,,1,320,449.99,0,AUDIOVOX,,
JENSEN,"JENSEN 6.8"" TOUCH SCREEN BLUET",CMR8629,STANDARD,HEADUNIT,,,1,69.56,119.99,2,JENSEN,,
METRA,TOT DD KIT,958153,STANDARD,INSTALL,,,1,7,29.99,0,,,
KENWOOD,DS18 8 GAUGE AMP KIT,AMPKIT8,STANDARD,INSTALL,,,1,20,49.99,5,KENWOOD,,
METRA,TOYOTA DD KIT,958202,STANDARD,INSTALL,,,1,6.2,29.99,0,SANTAFE,,
PIONEER,"PIONEER 7"" CAR PLAY/ANDROID",DMH1500NEX,STANDARD,HEADUNIT,,,1,260,379.99,1,PIONEER,,
PIONEER,PIONEER CARPLAY MEDIA HEADUNIT,DMH2660NEX,STANDARD,HEADUNIT,,,1,324,499.99,2,PIONEER,,
METRA,KIT TOYOTA DD,958203,STANDARD,INSTALL,,,1,6,29.99,0,SANTA FE,,
METRA,METRA TOYOTA CAROLLA 09-13 KIT,958223,STANDARD,INSTALL,,,1,7.25,29.99,0,SANTA FE,,
METRA,KIT TOY/PONC MATRIX/VIBE 09/10,958224,STANDARD,INSTALL,,,1,7.47,29.99,2,SANTA FE,,
PIONEER,PIONEER CDP BLUETOOTH,FHS52BT,STANDARD,HEADUNIT,,,1,100,149.99,-1,,,
METRA,VOLKSWAGON TOUAREG DD KIT,959009,STANDARD,INSTALL,,,1,7.25,29.99,1,SANTA FE,,
KENWOOD,DVD APPLE ANDRIOD AUTO,DDX6706S,STANDARD,HEAD UNIT,,,1,350,689.99,0,KENWOOD,,
KENWOOD,DVD BT,DDX26BT,STANDARD,HEADUNIT,,,1,176,249.99,0,KENWOOD,,
KENWOOD,DVD CARPLAY,DDX5707S,STANDARD,HEADUNIT,,,1,470,619.99,1,KENWOOD,,
KENWOOD," DVD WIFI MIRROR 7""",DDX9707S,STANDARD,HEADUNIT,,,1,500,729.99,0,KENWOOD,,
JENSEN,"JENSEN 6.2"" DVD BLUETHOOTH",VX3024,STANDARD,HEADUNIT,,,1,147.6,239.99,0,AUDIOVOX,,
JENSEN,"JENSEN 6.2"" NAV",VX7528,STANDARD,HEADUNIT,,,1,234,399.99,0,AUDIOVOX,,
SONY,"SONY 7"" APPLE CARPLAY ANDROID",XAVAX150,STANDARD,HEADUNIT,,,1,250,399.99,1,WALMART,,
KENWOOD,DVD CARPLAY UNIT,DDX57S,STANDARD,INSTALL,,,1,276,549.99,0,KENWOOD,,
METRA,FRD MULT KIT,985999,STANDARD,INSTALL,,,1,6,19.99,1,,,
KENWOOD,DVD HD RADIO BLUETOOTH,DDX593,STANDARD,VIDEO,,,1,240,349.99,0,KENWOOD,,
KENWOOD,DVD 6.2 SCREEN,DDX6906S,STANDARD,VIDEO,,,1,338,469.99,0,KENWOOD,,
METRA,GRANG CHER,991000,STANDARD,INSTALL,,,1,8.33,24.99,1,SANTAFE,,
METRA,KIA KIT,991003,STANDARD,INSTALL,,,1,7,24.99,3,SANTAFE,,
METRA,HONDA KIA KIT,991004,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,KIA KIT,991005,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,FORGN KIT,991006,STANDARD,INSTALL,,,1,7,24.99,1,,,
METRA,KIA KIT,991007,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,TOYOTA,991008,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,KIT GM,992002,STANDARD,INSTALL,,,1,8,19.99,5,SANTAFE,,
KENWOOD,EXCELON XR 5CH,XR9015,STANDARD,AMP,,,1,290,579.99,2,KENWOOD,,
KENWOOD,EXCELON CD BLUETOOTH,KDCX300,STANDARD,HEAD UNIT,,,1,95,129.99,0,KENWOOD,,
KENWOOD,EXCELON USB BLUETOOTH,KDCX303,STANDARD,HEAD UNIT,,,1,93,129.99,0,KENWOOD,,
KENWOOD,EXCELON,KDCX500,STANDARD,HEAD UNIT,,,1,108,149.99,0,KENWOOD,,
KENWOOD,EXCELON CD USB BLUE,KDCX501,STANDARD,HEAD UNIT,,,1,107,149.99,0,KENWOOD,,
KENWOOD,EXCELON CD  BLUETOOH,KDCX998,STANDARD,HEAD UNIT,,,1,172,259.99,0,KENWOOD,,
KENWOOD,EXCELON CD PLAYER BLUE,KDCX304,STANDARD,HEADUNIT,,,1,95,159.99,0,KENWOOD,,
KENWOOD,EXCELON 6.5 IN COAX,KFCX174,STANDARD,SPEAKER,,6.5,1,50,119.99,0,KENWOOD,,
KENWOOD,"EXCELON 6.5""",KFCX175,STANDARD,SPEAKER,,,1,60,119.99,5,KENWOOD,,
KENWOOD,"EXCELON 7"" COAXIAL",KFCX183C,STANDARD,SPEAKER,,,1,70,139.99,0,KENWOOD,,
KENWOOD,"EXCELON 3.5"" SPEAKERS",KFCX3C,STANDARD,SPEAKER,,,1,40,99.99,0,KENWOOD,,
KENWOOD,EXCELON 4X6 2-WAY,KFCX463C,STANDARD,SPEAKER,,4x6,1,50,99.99,0,KENWOOD,,
KENWOOD,EXCELON 6X9 COAX,KFCX694,STANDARD,SPEAKER,,6x9,1,80,149.99,0,KENWOOD,,
KENWOOD,"EXCELON 10"" SUB",KFCXW10,STANDARD,SUB,,,1,50,119.99,0,KENWOOD,,
KENWOOD,"EXCELON 12"" SUB",KFCXW120,STANDARD,SUB,,,1,60,139.99,0,KENWOOD,,
KENWOOD,EXCELON 12 SHALLOW,KFCXW1200F,STANDARD,SUB,,,1,120,249.99,2,KENWOOD,,
KENWOOD,"EXCELON 8"" LOADED SUB",PXW804B,STANDARD,SUB,,,1,0,199.99,1,KENWOOD,,
KENWOOD,EXCELON 12 SUB 400RMS,XRW1204,STANDARD,SUB,,,1,90,199.99,0,KENWOOD,,
KENWOOD,EXCELON OVERSIZE SUB,XRW12F,STANDARD,SUB,,,1,150,299.99,0,KENWOOD,,
KENWOOD,EXCELON DVD BLUETOOTH,DDX393,STANDARD,VIDEO,,,1,225,349.99,0,KENWOOD,,
KENWOOD,EXCELON DD DVD,DDX395,STANDARD,VIDEO,,,1,224,349.99,0,KENWOOD,,
KENWOOD,EXCELON NAV,DNX692,STANDARD,VIDEO,,,1,634,899.99,0,KENWOOD,,
KENWOOD,EXCELON CD BLUETOOTH,DPX791BH,STANDARD,VIDEO,,,1,136,199.99,0,KENWOOD,,
METRA,METRA AMP ANTENNA,44UA20,STANDARD,INSTALL,,,1,20,49.99,0,SANTA FE,,
METRA,METRA ANTENNA,44UA200,STANDARD,INSTALL,,,1,23,59.99,0,SANTA FE,,
KENWOOD,EXL DDIN RADIO,DPX395MBT,STANDARD,HEAD UNIT,,,1,0,159.99,0,KENWOOD,,
METRA,GM 95UP SINGLE AND DOUBLE DIN,992003,STANDARD,INSTALL,,,1,8.33,29.99,1,SANTA FE,,
METRA,KIT GM,992004,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,KIT GM,992005,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,FORD F150 KIT 09 AND UP,955820B,STANDARD,INSTALL,,,1,19.47,49.99,0,SANTA FE,,
METRA,FORD FOCUS KIT 12+,955827B,STANDARD,INSTALL,,,1,116.95,199.99,0,SANTA FE,,
METRA,KIT GM,992006,STANDARD,INSTALL,,,1,31.93,70,-1,SANTAFE,,
METRA,KIT GM,992007,STANDARD,INSTALL,,,1,35.93,70,0,SANTAFE,,
METRA,CADILLAC 06+  KIT,992008,STANDARD,INSTALL,,,1,21.5,49.99,0,SANTA FE,,
METRA,BUICK LECROSSE 2005-08 KIT,992021,STANDARD,INSTALL,,,1,9.12,39.99,2,SANTA FE,,
METRA,KIT GM,993000,STANDARD,INSTALL,,,1,8,29.99,0,SANTAFE,,
METRA,KIT GM,993001,STANDARD,INSTALL,,,1,6.5,19.99,0,SANTAFE,,
METRA,FORD FIESTA KIT 2010 UP,995825B,STANDARD,INSTALL,,,1,100,179.99,1,SANTA FE,,
AXXESS,FORD INTERFACE W/SWC HARNESS,AXDISFD1,STANDARD,INSTALL,,,1,108.55,199.99,1,SANTA FE,,
AXXESS,FORD INTERFACE HARNESS 11-UP,AXVI5524,STANDARD,INSTALL,,,1,41.89,79.99,1,SANTA FE,,
METRA,KIT GM,993003,STANDARD,INSTALL,,,1,8,19.99,0,SANTAFE,,
METRA,KIT GM,993009,STANDARD,INSTALL,,,1,8,19.99,0,SANTAFE,,
METRA,PONTIAC KIT,993042,STANDARD,INSTALL,,,1,13.5,29.99,0,SANTA FE,,
METRA,KIT GM,993051,STANDARD,INSTALL,,,1,7.5,19.99,0,SANTAFE,,
METRA,KIT GM,993100,STANDARD,INSTALL,,,1,7,17.99,0,SANTAFE,,
METRA,KIT GM,993105,STANDARD,INSTALL,,,1,6.5,17.99,1,SANTAFE,,
METRA,METRA SATURN KIT,993105,STANDARD,INSTALL,,,1,8.75,24.99,0,SANTA FE,,
METRA,KIT,993106,STANDARD,INSTALL,,,1,6.2,17.99,0,SANTAFE,,
METRA,KIT GM,993200,STANDARD,INSTALL,,,1,7,16.99,0,SANTAFE,,
METRA,GM KIT,993304,STANDARD,INSTALL,,,1,7,24.99,2,SANTAFE,,
METRA,GM KIT,993305,STANDARD,INSTALL,,,1,6,24.99,0,,,
METRA,AVEO KIT,993306,STANDARD,INSTALL,,,1,12,343.99,0,SANTAFE,,
METRA,GEO MTRO,993410,STANDARD,INSTALL,,,1,6,24.99,1,SANTAFE,,
METRA,GEO SUZ,993411,STANDARD,INSTALL,,,1,6,24.99,1,SANTAFE,,
METRA,GEO PRZM,993412,STANDARD,INSTALL,,,1,6,24.99,1,SANTAFE,,
METRA,GEO PRZM,993413,STANDARD,INSTALL,,,1,6,24.99,0,SANTAFE,,
METRA,GRAND PRIX,993527,STANDARD,INSTALL,,,1,8.33,24.99,0,SANTAFE,,
METRA,GM KIT,993528,STANDARD,INSTALL,,,1,4,24.99,1,SANTAFE,,
METRA,CHEVY 95-2000,993900,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,FORD MUST,995025,STANDARD,INSTALL,,,1,7,24.99,2,SANTAFE,,
METRA,FORD MULT,995510,STANDARD,INSTALL,,,1,7,19.99,1,SANTAFE,,
METRA,GM DD KIT,952005B,STANDARD,INSTALL,,,1,8,29.99,0,,,
METRA,FORD MULTI,995512,STANDARD,INSTALL,,,1,6,24.99,0,SANTAFE,,
METRA,FORD MULTI,995700,STANDARD,INSTALL,,,1,6,24.99,0,SANTAFE,,
METRA,GM 06-UP KIT,993321B,STANDARD,INSTALL,,,1,10.5,34.99,1,SANTA FE,,
METRA,FORDVEXP,995801,STANDARD,INSTALL,,,1,8,29.99,1,SANTAFE,,
AXXESS,GM HARNESS RCA 14 AND UP,AXBUCHGM3,STANDARD,INSTALL,,,1,5.94,19.99,0,SANTA FE,,
AXXESS,GM INTERFACE 2000-13,AXDISCL2,STANDARD,INSTALL,,,1,93.23,199.99,1,SANTA FE,,
AXXESS,GM INTERFACE 2006-19 WITH SWC,AXDISGMLN29,STANDARD,INSTALL,,,1,107.1,219.99,2,SANTA FE,,
AXXESS,GM MOST AMP INTERFACE,AXGMMT02,STANDARD,INSTALL,,,1,280,499.99,-1,SANTA FE,,
AXXESS,GM HARNESS,AXRCGM1,STANDARD,INSTALL,,,1,38.31,69.99,0,SANTA FE,,
AXXESS,GM INTERFACE 06-19,AXRCGMLN1,STANDARD,INSTALL,,,1,38.31,89.99,2,SANTA FE,,
AXXESS,GM 12-16 SWC/DATA INTERFACE,AXTCLN44,STANDARD,INSTALL,,,1,92.25,219.99,1,METRA,,
METRA,MERCURY,995803,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,GM SHORT SIDE POST,GM38,STANDARD,INSTALL,,,1,3.18,14.99,2,METRA,,
METRA,FORD DD,995805,STANDARD,INSTALL,,,1,7,24.99,3,SANTAFE,,
METRA,FORD MULTI,995807,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,Q,995808,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,07-08 LINCOLN MKZ KIT,995813,STANDARD,INSTALL,,,1,11.5,34.99,0,SANTA FE,,
METRA,FORD FOCUS KIT 2008-UP,995816,STANDARD,INSTALL,,,1,24,79.99,0,SANTA FE,,
AXXESS,GM HARNESS BOSE STEERING 06-UP,AXDISGMLN29,STANDARD,INSTALL,,,1,0,211.99,1,METRA,,
METRA,DODGE KIT,996500,STANDARD,INSTALL,,,1,6,24.99,1,,,
METRA,DODGE 98-UP SINGLE DIN KIT,996503,STANDARD,INSTALL,,,1,5.85,24.99,3,SANTA FE,,
METRA,98 UP INTREP/NEON,996504,STANDARD,INSTALL,,,1,7.92,29.99,0,SANTAFE,,
METRA,CHRYSLER PACIFICA,996506,STANDARD,INSTALL,,,1,8.33,24.99,0,SANTAFE,,
KENWOOD,GRILL,CA12G,STANDARD,INSTALL,,,1,16.2,24.99,0,KENWOOD,,
METRA,DODGE SPRINTER,996509,STANDARD,INSTALL,,,1,17.27,39.99,1,SANTAFE,,
METRA,DODGE/CHRYSLER KIT 04 UP,996510,STANDARD,INSTALL,,,1,9.21,34.99,1,SANTA FE,,
METRA,CHRYSLER SEB,996511,STANDARD,INSTALL,,,1,10.87,29.99,1,SANTAFE,,
METRA,2007-08 MERCEDES SPRINTER KIT,996512,STANDARD,INSTALL,,,1,13.5,44.99,0,SANTA FE,,
METRA,RAM PROMASTER 14UP,996523,STANDARD,INSTALL,,,1,0,49.99,0,SANTA FE,,
METRA,MITSUBISHI,997000,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,MITS DODE,997001,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,MITSUB,997006,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,MITSHU,997007,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,MITSUBISHI ENDEAVOR 04UP KIT,997009,STANDARD,INSTALL,,,1,8.96,29.99,1,,,
METRA,MITSHUB,997010,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,MITSUBISHI GALANT KIT 04-UP,997012,STANDARD,INSTALL,,,1,12.19,39.99,0,SANTA FE,,
METRA,HYUN,997301,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,HYUN,997305,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,HYUN,997308,STANDARD,INSTALL,,,1,7,24.99,2,SANTAFE,,
METRA,HYUND,997309,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,HYUND,997310,STANDARD,INSTALL,,,1,7,24.99,2,SANTAFE,,
METRA,HYUND,997311,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,HYUND,997312,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,HYUND,997313,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,HYUND,997314,STANDARD,INSTALL,,,1,7,24.99,2,SANTAFE,,
METRA,METRA CHEVY DD KIT 95-98,953003G,STANDARD,INSTALL,,,1,10.16,29.99,1,SANTA FE,,
METRA,HYUND,997315,STANDARD,INSTALL,,,1,7,24.99,2,SANTAFE,,
METRA,HYUND,997318,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,METRA GM KIT RETENTION,953303B,STANDARD,INSTALL,,,1,177,299.99,1,SANTA FE,,
METRA,HYUND,997322,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,HYUND,997325,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,HYUND,997326,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,METRA KIT KIA BORREGO,997334,STANDARD,INSTALL,,,1,17,34.99,1,SANTA FE,,
METRA,KIT NISS,997401,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,KIT NISS,997402,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT NISS,997403,STANDARD,INSTALL,,,1,9.52,24.99,1,SANTAFE,,
METRA,KIT NISS,997406,STANDARD,INSTALL,,,1,38,74.99,0,SANTAFE,,
METRA,KIT NISS,997407,STANDARD,INSTALL,,,1,8,24.99,2,SANTAFE,,
METRA,NISS KIT,997409,STANDARD,INSTALL,,,1,7,24.99,0,,,
METRA,KIT,997410,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT NISS,997411,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT NISS,997413,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,NISSAN SENTRA 2000,997414,STANDARD,INSTALL,,,1,6.67,24.99,1,SANTAFE,,
METRA,KIT NISS,997416,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT NISS,997417,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,KIT NISS,997418,STANDARD,INSTALL,,,1,7.2,24.99,0,SANTAFE,,
METRA,KIT NISSAN,997421,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,HYUND,997501,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,MAZDA,997504,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,KIT,997505,STANDARD,INSTALL,,,1,5,24.99,0,SANTA FE,,
METRA,KIT MAZDA,997507,STANDARD,INSTALL,,,1,120,199.99,0,SANTAFE,,
METRA,NISS,997581,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,NISSAN VERSA AND NOTE KIT 14UP,997621,STANDARD,INSTALL,,,1,11.33,34.99,0,SANTA FE,,
METRA,MAZDA,997860,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,KIT,997866,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT,997867,STANDARD,INSTALL,,,1,8,24.99,2,SANTAFE,,
METRA,KIT,997868,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,KIT,997873,STANDARD,INSTALL,,,1,8,24.99,0,SANTAFE,,
METRA,KIT,997889,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT HONDA CIVIC,997896,STANDARD,INSTALL,,,1,8,24.99,1,SANTAFE,,
METRA,KIT,997950,STANDARD,INSTALL,,,1,5,24.99,2,SANTA FE,,
