make,description,model,type,DEPT,CATEGORY,SIZE,PACK_QTY,COST,PRICE,available,vendor,REORDER_NO,MIN_ORDER
METRA,METRA GM HARNESS,702103,STANDARD,INSTALL,,,1,8.28,24.99,0,SANTA FE,,
METRA,METRA GM 06-UP HARNESS,702104,STANDARD,INSTALL,,,1,13.45,34.99,4,SANTA FE,,
PLANET AUDIO,PLANET AUDIO 4000  WATT AMP,PL40001D,STANDARD,AMP,,,1,108,249.99,0,SANTA FE,,
JENSEN,JENSEN 500 WATT 2CH,POWER250X2,STANDARD,AMP,,,1,45.1,99.99,3,AUDIOVOX,,
JENSEN,JENSEN 400 WATT 4-CH,POWER400X4,STANDARD,AMP,,,1,55,129.99,0,PIONEER,,
JENSEN,JENSEN 1000 WATT MONO,POWER500X1,STANDARD,AMP,,,1,65,129.99,1,AUDIOVOX,,
METRA,METRA 06 UP HARNESS NO ONSTAR,702105,STANDARD,INSTALL,,,1,10,29.99,6,SANTA FE,,
METRA,HARNES SATURN,702202,STANDARD,INSTALL,,,1,8,25,1,SANTAFE,,
METRA,HARNES FORD,705510,STANDARD,INSTALL,,,1,8.24,25.99,1,SANTAFE,,
METRA,HARNES FORD,705511,STANDARD,INSTALL,,,1,8.24,25.99,0,SANTAFE,,
METRA,HARNES FORD,705513,STANDARD,INSTALL,,,1,6,19.99,0,SANTAFE,,
METRA,HARNES FORD,705516,STANDARD,INSTALL,,,1,10.37,29.99,3,SANTAFE,,
METRA,HARNES FORD,705517,STANDARD,INSTALL,,,1,10.37,29.99,2,SANTAFE,,
METRA,HARNESS FORD,705518,STANDARD,INSTALL,,,1,9,25,2,SANTAFE,,
KENWOOD,APP RADIO NAV,DNX773S,STANDARD,VIDEO,,,1,450,699.99,1,KENWOOD,,
KENWOOD,APPLE CARPLAY,DMX957XR,STANDARD,HEAD UNIT,,,1,670,1099.99,0,KENWOOD,,
METRA,HARNES FORD,705519,STANDARD,INSTALL,,,1,9,25,0,SANTAFE,,
METRA,HARNES FORD,705521,STANDARD,INSTALL,,,1,12,25,0,SANTAFE,,
METRA,HARNES FORD,705600,STANDARD,INSTALL,,,1,2,15,3,SANTAFE,,
METRA,AUDI 2002 UP KIT,999107B,STANDARD,INSTALL,,,1,19,59.99,0,SANTA FE,,
METRA,HARNES FORD,705603,STANDARD,INSTALL,,,1,9,25,2,SANTAFE,,
CRUNCH,CRUNCH 1000 WATT MONO,SA11001,STANDARD,AMP,,,1,65,149.99,0,WHOLESALE HOUSE,,
METRA,HARNES FORD,705700,STANDARD,INSTALL,,,1,6,15,3,SANTAFE,,
SUNDOWN,SUNDOWN MONO FULL RANGE 1500W,SFB1500D,STANDARD,AMP,,,1,134.55,299.99,1,SUNDOWN,,
METRA,CHRYSLER  RCA,706503,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
SUNDOWN,SUNDOWN MONO FULL RANGE 2000W,SFB2000D,STANDARD,AMP,,,1,175,349.99,-1,SUNDOWN,,
SUNDOWN,SUNDOWN FULL RANGE 3000W AMP,SFB3000D,STANDARD,AMP,,,1,250,499.99,0,ROCKFORD,,
SUNDOWN,SUNDOWN 4 CHANNEL 500W,SFB500X4D,STANDARD,AMP,,,1,206,399.99,0,SUNDOWN,,
SUNDOWN,SUNDOWN 600WATT MONO CLASS D,SFB600D,STANDARD,AMP,,,1,81,199.99,3,SUNDOWN,,
SUNDOWN,SUNDOWN SA 1250RMS MONO AMP,SIA1250D,STANDARD,AMP,,,1,180,359.99,1,SUNDOWN,,
SUNDOWN,SUNDOWN 1750WATT AMP,SIA1750D,STANDARD,AMP,,,1,175,349.99,0,SUNDOWN,,
SUNDOWN,SUNDOWN 3500RMS MONO BLOCK,SIA3500D,STANDARD,AMP,,,1,250,499.99,0,SUNDOWN,,
JBL,JBL STADIUM 600,STADIUM600AM,STANDARD,AMP,,,1,150,249.99,0,JBL,,
METRA,CHRYSLER BYBASS,706504,STANDARD,INSTALL,,,1,35,79.99,0,SANTAFE,,
METRA,CHRSLER BYBASS,706506,STANDARD,INSTALL,,,1,35,79.99,0,SANTAFE,,
METRA,CHRYSLER AMP BYBASS,706512,STANDARD,INSTALL,,,1,35,69.99,1,SANTAFE,,
METRA,CHRYSLER /D 07 UP,706522,STANDARD,INSTALL,,,1,8.19,29.99,0,SANTAFE,,
METRA,MITS 95-UP AMP ITEGRT,707003,STANDARD,INSTALL,,,1,12.48,29.99,0,SANTAFE,,
METRA,HYUNDAI,707300,STANDARD,INSTALL,,,1,5,17.99,6,SANTAFE,,
AXXESS,AXDISGMLN44,AXDISGMLN44,STANDARD,INSTALL,,,1,0,199.99,0,METRA,,
METRA,HYUNDAI HAR,707301,STANDARD,INSTALL,,,1,5,17.99,0,SANTAFE,,
METRA,HYUNDAI 07-,707302,STANDARD,INSTALL,,,1,6,24.99,0,SANTAFE,,
METRA,HYUNDAI HARNESS,707303,STANDARD,INSTALL,,,1,10.53,24.99,0,SANTAFE,,
METRA,NISSAN HAR,707552,STANDARD,INSTALL,,,1,5,17.99,0,SANTAFE,,
METRA,ISUZU HONDA  WRCA,707712,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,ISUZ HONDA WRCA,707713,STANDARD,INSTALL,,,1,7,24.99,3,SANTAFE,,
KENWOOD,BLUETOOTH RADIO,KMMBT260U,STANDARD,HEAD UNIT,,,1,85,149.99,0,KENWOOD,,
KENWOOD,BLUETOOTH RECIEVER,KMMBT328U,STANDARD,HEAD UNIT,,,1,71.4,149.99,0,KENWOOD,,
KENWOOD,BLUETOOTH HEADUNIT,KMMBT325U,STANDARD,HEADUNIT,,,1,70,99.99,0,KENWOOD,,
METRA,HARNESS MAZDA,707901,STANDARD,INSTALL,,,1,7,17.99,0,SANTAFE,,
METRA,BMW KIT 5 SERIES 97UP,959307B,STANDARD,INSTALL,,,1,20.48,59.99,1,SANTA FE,,
