MODEL,VENDORMODEL,MAKE,NEW,MSRP,MAP,PRICE,MC,DESCRIPTION
TSZ10LS4,TS-Z10LS4,PIONEER,X,350,250,160,3,"10"" Shallow S4 Subwoofer"
TSZ65C,TS-Z65C,PIONEER,,350,250,160,4,"6.75"" Component Speaker pkg (pair) 100W"
TSZ65CH,TS-Z65CH,PIONEER,,400,300,190,4,"6.75"" Component Speaker pckg (pair) 110W"
TSZ65F,TS-Z65F,PIONEER,,300,200,130,6,"6.75"" 2way Speaker (pair)"
UDRP351PRO,UD-RP351PRO,PIONEER,,40,0,0,36,Repair Kit for TS-B351PRO
UDRP401PRO,UD-RP401PRO,PIONEER,,45,0,0,36,Repair Kit for TS-B401PRO
MVHMS512BS,MVH-MS512BS,PIONEER,,170,180,100.5,8,"DIGITAL MEDIA RCVR W/USB IPOD, RGB & BT"
TSMR1600,TS-MR1600,PIONEER,X,80,70,38.3,6,"Marine speaker 6 1/2"" dual cone (pair)"
TSMR1640,TS-MR1640,PIONEER,X,130,120,60.5,6,16CM MARINE SPEAKERS 2 WAY 160W
TSMR2040,TS-MR2040,PIONEER,X,200,180,90.5,3,20CM MARINE SPEAKERS
RDHWK300,RD-HWK300,PIONEER,X,30,20,18,20,HARD WIRE KIT FOR DASHCAM
VRECH120SC,VREC-H120SC,PIONEER,X,100,80,72,20,"Dashcam 1 Camera, FHD"
VRECH520DC,VREC-H520DC,PIONEER,X,220,180,162,20,Dashcam Rear Camera 2K + FHD
VRECZ820DC,VREC-Z820DC,PIONEER,X,260,220,198,20,Dashcam Rear Camera 2K + FHD
