Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
P1650,P1650,ROCKFORD,"6.5” full range coaxial
55 watts RMS, 110 watts peak, grilles included",780687345303,$109.99,$58.00, 4 , 24.8 , 19.0 , 17.0 , 9.0 , 6.2 , 18.5 , 8.0 , 5.0 
P1675,P1675,ROCKFORD,"6.75” full range 3-way with 5x7"" & 6x9"" adapters
60 watts RMS, 120 watts peak, grilles included",780687340339,$109.99,$58.00, 6 , 38.8 , 29.0 , 20.0 , 9.0 , 6.5 , 18.5 , 4.4 , 9.0 
P1462,P1462,ROCKFORD,"4x6” full range coaxial
35 watts RMS, 70 watts peak",780687329020,$109.99,$57.00, 6 , 22.8 , 24.0 , 11.3 , 8.5 , 3.8 , 10.8 , 7.8 , 4.0 
P1572,P1572,ROCKFORD,"5x7” full range coaxial
60 watts RMS, 120 watts peak",780687329037,$109.99,$57.00, 6 , 35.2 , 25.8 , 14.5 , 10.3 , 5.9 , 14.0 , 9.5 , 4.3 
P1683,P1683,ROCKFORD,"6x8” full range coaxial
60 watts RMS, 120 watts peak",780687329044,$109.99,$57.00, 4 , 21.6 , 16.0 , 16.0 , 11.0 , 5.4 , 17.5 , 12.0 , 5.0 
P1692,P1692,ROCKFORD,"6x9” full range coaxial
75 watts RMS, 150 watts peak, grilles included",780687329051,$109.99,$69.00, 4 , 38.2 , 20.0 , 18.0 , 13.0 , 9.6 , 17.3 , 11.5 , 4.8 
P1694,P1694,ROCKFORD,"6x9” full range 4-way
75 watts RMS, 150 watts peak, grilles included",780687329068,$119.99,$75.00, 4 , 38.2 , 20.0 , 18.0 , 13.0 , 9.6 , 18.5 , 4.4 , 9.0 
R152S,R152-S,ROCKFORD,"5.25” 2-way system
40 watts RMS, 80 watts peak, grilles included",780687329952,$79.99,$63.00, 6 , 22.6 , 16.8 , 15.5 , 12.0 , 3.8 , 14.3 , 8.3 , 3.6 
R165S,R165-S,ROCKFORD,"6.5” 2-way system
40 watts RMS, 80 watts peak, grilles included",780687341152,$79.99,$63.00, 6 , 29.0 , 26.0 , 19.5 , 8.8 , 4.8 , 16.0 , 8.3 , 4.0 
R1675S,R1675-S,ROCKFORD,"6.75” 2-way system
40 watts RMS, 80 watts peak, grilles included",780687341169,$79.99,$63.00, 6 , 30.6 , 19.5 , 17.0 , 14.5 , 5.1 , 16.0 , 8.3 , 4.0 
R1TS,R1T-S,ROCKFORD,"1” tweeter kit
40 watts RMS, 80 watts peak",780687329969,$44.99,$31.00, 24 , 16.6 , 16.5 , 15.3 , 13.3 , 0.7 , 8.0 , 8.0 , 2.0 
R14X2,R14X2,ROCKFORD,"4” full range coaxial
30 watts RMS, 60 watts peak, grilles included",780687342470,$64.99,$33.00, 6 , 19.2 , 20.3 , 13.3 , 7.5 , 3.2 , 13.5 , 8.0 , 3.3 
R1525X2,R1525X2,ROCKFORD,"5.25” full range coaxial
40 watts RMS, 80 watts peak, grilles included",780687342487,$79.99,$39.00, 6 , 21.2 , 21.8 , 14.8 , 8.0 , 3.5 , 16.0 , 8.0 , 4.0 
R165X3,R165X3,ROCKFORD,"6.5” full range 3-way
45 watts RMS, 90 watts peak, grilles included",780687342494,$79.99,$39.00, 6 , 28.6 , 24.0 , 16.0 , 8.0 , 4.8 , 20.0 , 9.0 , 4.5 
R1675X2,R1675X2,ROCKFORD,"6.75” full range coaxial
55 watts RMS, 110 watts peak, grilles included",780687342500,$79.99,$39.00, 6 , 27.8 , 23.3 , 16.0 , 8.5 , 4.6 , 12.0 , 8.8 , 3.5 
R168X2,R168X2,ROCKFORD,"6x8” full range coaxial
65 watts RMS, 130 watts peak",780687342517,$89.99,$44.00, 6 , 28.2 , 22.0 , 12.8 , 9.5 , 4.7 , 16.5 , 11.5 , 5.0 
R169X2,R169X2,ROCKFORD,"6x9” full range coaxial
65 watts RMS, 130 watts peak, grilles included",780687342524,$99.99,$50.00, 3 , 19.4 , 17.0 , 16.3 , 12.8 , 6.5 , 16.5 , 11.5 , 5.0 
R169X3,R169X3,ROCKFORD,"6x9” full range 3-way
65 watts RMS, 130 watts peak, grilles included",780687342531,$109.99,$55.00, 3 , 21.4 , 17.0 , 15.8 , 12.5 , 7.1 , 19.5 , 9.0 , 4.0 
