Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
PM300X2,PM300X2,ROCKFORD,"2 channel marine amplifier 
100x2 @ 4Ω, 150x2 @ 2Ω, 300x1 @ 4Ω bridged",780687345075,$349.99,$207.00, 4 , 39.8 , 22.0 , 12.0 , 16.0 , 10.0 , 12.0 , 19.3 , 5.8 
PM500X2,PM500X2,ROCKFORD,"2 channel marine amplifier 
150x2 @ 4Ω, 250x2 @ 2Ω, 500x1 @ 4Ω bridged",780687345112,$549.99,$330.00, 2 , 25.6 , 11.8 , 11.5 , 19.5 , 12.8 , 6.9 , 5.7 , 3.0 
PM400X4,PM400X4,ROCKFORD,"4 channel marine amplifier 
50x4 @ 4Ω, 100x4 @ 2Ω, 200x2 @ 4Ω bridged",780687345099,$519.99,$306.00, 2 , 22.2 , 12.0 , 11.5 , 17.0 , 11.1 , 9.1 , 6.7 , 3.5 
PM600X4,PM600X4,ROCKFORD,"4 channel marine amplifier 
75x4 @ 4Ω, 150x4 @ 2Ω, 300x2 @ 4Ω bridged",780687345129,$649.99,$388.00, 2 , 25.8 , 14.0 , 13.0 , 10.3 , 12.9 , 9.3 , 6.6 , 4.0 
PM1000X5,PM1000X5,ROCKFORD,"5 channel marine amplifier 75x4 + 150x1 @ 4Ω,
125x4 + 300x1 @ 2Ω, N/A + 500x1 @ 1Ω",780687345211,$799.99,$495.00, 2 , 31.6 , 12.0 , 11.5 , 21.0 , 15.8 , 16.1 , 16.1 , 10.2 
PM100X1K,PM100X1K,ROCKFORD,"Full range mono marine amplifier, sold in pairs
50x1 @ 4Ω, 100x1 @ 2Ω, H 1.3” x W 3.0” x L 3.9”",780687345204,$309.99,$188.00, 2 , 5.4 , 11.0 , 10.0 , 6.0 , 2.7 , 18.5 , 8.8 , 5.4 
PM500X1BD,PM500X1BD,ROCKFORD,"Mono marine amplifier 
150x1 @ 4Ω, 300x1 @ 2Ω, 500x1 @ 1Ω",780687345105,$549.99,$330.00, 2 , 21.8 , 12.0 , 11.5 , 17.0 , 10.9 , 9.1 , 6.7 , 3.5 
PM1000X1BD,PM1000X1BD,ROCKFORD,"Mono marine amplifier 
300x1 @ 4Ω, 600x1 @ 2Ω, 1000x1 @ 1Ω",780687345051,$689.99,$413.00, 2 , 26.4 , 12.0 , 11.0 , 19.5 , 13.2 , 15.8 , 15.8 , 10.2 
M2200X2,M2-200X2,ROCKFORD,"2 channel Element Ready amplifier
50x2 @ 4Ω, 100x2 @ 2Ω, 200x1@ 4Ω bridged",780687358297,$299.99,$175.00, 4 , 20.6 , 17.3 , 11.5 , 10.5 , 5.2 , 4.3 , 10.8 , 9.5 
M2300X4,M2-300X4,ROCKFORD,"4 channel Element Ready amplifier
50x4 @ 4Ω, 75x4 @ 2Ω, 150x2 @ 4Ω bridged",780687358303,$349.99,$207.00, 4 , 24.6 , 13.8 , 17.0 , 11.0 , 6.2 , 13.0 , 9.3 , 4.0 
M2750X5,M2-750X5,ROCKFORD,"5 channel Element Ready amplifier
50x4 + 200x1 @ 4Ω, 100x4 + 350x1 @ 2Ω, 200X2 @4Ω bridged",780687358310,$569.99,$338.00, 4 , 31.4 , 17.3 , 15.0 , 10.5 , 7.9 , 13.7 , 9.5 , 4.0 
M2500X1,M2-500X1,ROCKFORD,"Mono Element Ready amplifier
250x1 @ 4Ω, 500x1 @ 2Ω",780687358327,$349.99,$207.00, 4 , 24.4 , 17.3 , 12.0 , 10.5 , 6.1 , 11.0 , 9.5 , 4.0 
PMXRGB,PMX-RGB,ROCKFORD,Color Optix light controller with optional app interface,780687355647,$99.99,$59.00, 20 , 15.8 , 10.5 , 9.3 , 16.0 , 0.8 , 7.5 , 7.0 , 3.0 
RGB6,RGB-6,ROCKFORD,6 ft Color Optix extension cable to be used with PMX-RGB,780687364373,$21.99,$13.50, 20 , 7.6 , 16.3 , 13.5 , 15.0 , 0.4 , 7.3 , 6.0 , 1.5 
RGB16,RGB-16,ROCKFORD,16 ft Color Optix extension cable to be used with PMX-RGB,780687364380,$29.99,$18.00, 20 , 12.0 , 16.5 , 13.5 , 14.8 , 0.6 , 7.5 , 6.0 , 2.5 
RGB25,RGB-25,ROCKFORD,25 ft Color Optix extension cable to be used with PMX-RGB,780687364397,$34.99,$22.00, 20 , 15.5 , 16.5 , 13.3 , 15.0 , 0.8 , 7.5 , 6.0 , 2.5 
RGBY4P,RGB-Y4P,ROCKFORD,Y adapter Color Optix cable to be used with PMX-RGB,780687364403,$29.99,$18.00, 40 , 13.8 , 13.5 , 12.5 , 17.5 , 0.4 , 6.0 , 8.0 , 1.5 
RGBY6P,RGB-Y6P,ROCKFORD,Y adapter Color Optix cable to be used with PMX-RGB,780687364410,$29.99,$18.00, 20 , 6.0 , 13.0 , 14.0 , 14.0 , 0.3 , 6.0 , 8.0 , 3.0 
M2D210IG2,M2D2-10I-G2,ROCKFORD,"10"" Color Optix infinite baffle marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687367367,$439.99,$242.00, 2 , 29.6 , 19.3 , 13.3 , 13.5 , 14.2 , 12.5 , 12.5 , 9.0 
M2D210IBG2,M2D2-10IB-G2,ROCKFORD,"10"" Color Optix infinite baffle marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687367374,$439.99,$242.00, 2 , 30.1 , 19.0 , 13.0 , 13.5 , 14.3 , 12.5 , 9.0 , 12.5 
M2D410IG2,M2D4-10I-G2,ROCKFORD,"10"" Color Optix infinite baffle marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687367350,$439.99,$242.00, 2 , 30.0 , 19.0 , 13.0 , 13.5 , 14.3 , 12.5 , 9.0 , 12.5 
M2D410IBG2,M2D4-10IB-G2,ROCKFORD,"10"" Color Optix infinite baffle marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687367411,$439.99,$242.00, 2 , 30.0 , 19.0 , 13.0 , 13.5 , 14.3 , 12.5 , 9.0 , 12.5 
M2D212I,M2D2-12I,ROCKFORD,"12"" Color Optix infinite baffle marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687355722,$599.99,$330.00, 2 , 38.8 , 21.5 , 16.0 , 16.5 , 19.4 , 15.5 , 10.5 , 15.5 
M2D212IB,M2D2-12IB,ROCKFORD,"12"" Color Optix infinite baffle marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687358280,$599.99,$330.00, 2 , 38.8 , 16.0 , 21.5 , 16.5 , 19.4 , 15.0 , 15.0 , 10.0 
M2D412I,M2D4-12I,ROCKFORD,"12"" Color Optix infinite baffle marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687355715,$599.99,$330.00, 2 , 38.8 , 21.5 , 16.0 , 16.0 , 19.4 , 15.5 , 10.5 , 15.5 
M2D412IB,M2D4-12IB,ROCKFORD,"12"" Color Optix infinite baffle marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687358273,$599.99,$330.00, 2 , 38.8 , 21.5 , 16.3 , 16.5 , 19.4 , 15.0 , 15.0 , 10.0 
M2D210SG2,M2D2-10S-G2,ROCKFORD,"10"" Color Optix sealed marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687367381,$439.99,$242.00, 2 , 30.4 , 19.0 , 13.0 , 13.5 , 14.5 , 12.5 , 9.0 , 12.5 
M2D210SBG2,M2D2-10SB-G2,ROCKFORD,"10"" Color Optix sealed marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687367398,$439.99,$242.00, 2 , 30.3 , 19.0 , 13.0 , 13.5 , 14.5 , 12.5 , 9.0 , 12.5 
M2D410SG2,M2D4-10S-G2,ROCKFORD,"10"" Color Optix sealed marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687367428,$439.99,$242.00, 2 , 30.2 , 19.0 , 13.0 , 13.5 , 14.5 , 12.5 , 9.0 , 12.5 
M2D410SBG2,M2D4-10SB-G2,ROCKFORD,"10"" Color Optix sealed marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687367404,$439.99,$242.00, 2 , 30.4 , 19.0 , 13.0 , 13.5 , 14.5 , 12.5 , 9.0 , 12.5 
M2D212S,M2D2-12S,ROCKFORD,"12"" Color Optix sealed marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687355685,$599.99,$330.00, 2 , 38.6 , 21.5 , 16.0 , 16.5 , 19.3 , 15.0 , 15.0 , 10.0 
M2D212SB,M2D2-12SB,ROCKFORD,"12"" Color Optix sealed marine subwoofer, DVC (2Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687358242,$599.99,$330.00, 2 , 38.8 , 21.5 , 16.3 , 16.5 , 19.4 , 12.5 , 12.5 , 9.0 
M2D412S,M2D4-12S,ROCKFORD,"12"" Color Optix sealed marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, white & stainless grilles incl.",780687355678,$599.99,$330.00, 2 , 38.8 , 16.0 , 21.5 , 16.5 , 19.4 , 15.0 , 15.0 , 10.0 
M2D412SB,M2D4-12SB,ROCKFORD,"12"" Color Optix sealed marine subwoofer, DVC (4Ω)
400 watts RMS, 1600 watts peak, black & stainless grilles incl.",780687358235,$599.99,$330.00, 2 , 39.4 , 21.5 , 16.3 , 16.5 , 19.7 , 18.2 , 9.0 , 3.2 
M1D28,M1D2-8,ROCKFORD,"8"" Color Optix marine subwoofer
DVC (2Ω), 150 watts RMS, 600 watts peak, white grille included",780687353780,$239.99,$132.00, 4 , 23.6 , 28.8 , 11.5 , 12.0 , 5.9 , 11.0 , 11.0 , 7.0 
M1D28B,M1D2-8B,ROCKFORD,"8"" Color Optix marine subwoofer
DVC (2Ω), 150 watts RMS, 600 watts peak, black grille included",780687353797,$239.99,$132.00, 4 , 23.6 , 29.0 , 11.8 , 12.0 , 5.9 , 11.0 , 11.0 , 7.0 
M1D48,M1D4-8,ROCKFORD,"8"" Color Optix marine subwoofer
DVC (4Ω), 150 watts RMS, 600 watts peak, white grille included",780687353803,$239.99,$132.00, 4 , 23.8 , 28.5 , 11.5 , 12.0 , 6.0 , 11.0 , 11.0 , 7.0 
M1D48B,M1D4-8B,ROCKFORD,"8"" Color Optix marine subwoofer
DVC (4Ω), 150 watts RMS, 600 watts peak, black grille included",780687353810,$239.99,$132.00, 4 , 23.8 , 29.0 , 11.5 , 12.0 , 6.0 , 11.0 , 11.0 , 7.0 
M1D210,M1D2-10,ROCKFORD,"10"" Color Optix marine subwoofer
DVC (2Ω), 300 watts RMS, 1200 watts peak, white grille included",780687353827,$259.99,$150.00, 2 , 22.4 , 16.5 , 13.3 , 14.0 , 11.2 , 13.0 , 12.5 , 8.0 
M1D210B,M1D2-10B,ROCKFORD,"10"" Color Optix marine subwoofer
DVC (2Ω), 300 watts RMS, 1200 watts peak, black grille included",780687353834,$259.99,$150.00, 2 , 21.8 , 16.5 , 13.3 , 13.8 , 10.9 , 13.0 , 12.5 , 8.0 
M1D410,M1D4-10,ROCKFORD,"10"" Color Optix marine subwoofer
DVC (4Ω), 300 watts RMS, 1200 watts peak, white grille included",780687353841,$259.99,$150.00, 2 , 22.0 , 16.5 , 13.0 , 13.8 , 11.0 , 13.0 , 12.5 , 8.0 
M1D410B,M1D4-10B,ROCKFORD,"10"" Color Optix marine subwoofer
DVC (4Ω), 300 watts RMS, 1200 watts peak, black grille included",780687353858,$259.99,$150.00, 2 , 22.2 , 16.5 , 13.3 , 14.0 , 11.1 , 13.0 , 12.5 , 8.0 
M1D212,M1D2-12,ROCKFORD,"12"" Color Optix marine subwoofer
DVC (2Ω), 300 watts RMS, 1200 watts peak, white grille included",780687354107,$319.99,$179.00, 2 , 26.8 , 18.8 , 16.3 , 16.5 , 13.4 , 15.5 , 15.5 , 9.0 
M1D212B,M1D2-12B,ROCKFORD,"12"" Color Optix marine subwoofer
DVC (2Ω), 300 watts RMS, 1200 watts peak, black grille included",780687354114,$319.99,$179.00, 2 , 26.6 , 19.0 , 16.0 , 16.3 , 13.3 , 15.5 , 15.5 , 9.0 
M1D412,M1D4-12,ROCKFORD,"12"" Color Optix marine subwoofer
DVC (4Ω), 300 watts RMS, 1200 watts peak, white grille included",780687353865,$319.99,$179.00, 2 , 26.8 , 18.8 , 16.3 , 16.5 , 13.4 , 15.5 , 15.5 , 9.0 
M1D412B,M1D4-12B,ROCKFORD,"12"" Color Optix marine subwoofer
DVC (4Ω), 300 watts RMS, 1200 watts peak, black grille included",780687353872,$319.99,$179.00, 2 , 26.4 , 19.0 , 16.0 , 16.5 , 13.2 , 15.5 , 15.5 , 9.0 
M265,M2-65,ROCKFORD,"6.5” Color Optix marine 2-way system
150 watts RMS, 600 watts peak, white & stainless grilles incl.",780687353711,$479.99,$264.00, 3 , 22.0 , 18.0 , 18.0 , 9.0 , 7.3 , 8.5 , 17.5 , 6.0 
M265B,M2-65B,ROCKFORD,"6.5” Color Optix marine 2-way system
150 watts RMS, 600 watts peak, black & stainless grilles incl.",780687353728,$479.99,$264.00, 3 , 21.6 , 18.0 , 18.0 , 9.0 , 7.2 , 8.5 , 17.5 , 6.0 
M28,M2-8,ROCKFORD,"8” Color Optix marine 2-way system
250 watts RMS, 1000 watts peak, white & stainless grilles incl.",780687353735,$579.99,$317.00, 3 , 37.8 , 21.8 , 20.3 , 10.8 , 12.6 , 21.5 , 10.5 , 6.5 
M28B,M2-8B,ROCKFORD,"8” Color Optix marine 2-way system
250 watts RMS, 1000 watts peak, black & stainless grilles incl.",780687353742,$579.99,$317.00, 3 , 37.8 , 21.8 , 20.3 , 11.0 , 12.6 , 21.5 , 10.5 , 6.5 
M28H,M2-8H,ROCKFORD,"8” Color Optix marine 2-way system with horn tweeter
300 watts RMS, 1200 watts peak, white & stainless grilles incl.",780687353759,$899.99,$495.00, 3 , 30.2 , 21.8 , 20.3 , 11.0 , 10.1 , 21.5 , 10.3 , 6.5 
M28HB,M2-8HB,ROCKFORD,"8” Color Optix marine 2-way system with horn tweeter
300 watts RMS, 1200 watts peak, black & stainless grilles incl.",780687353766,$899.99,$495.00, 3 , 30.0 , 21.8 , 20.0 , 11.0 , 10.0 , 21.5 , 10.3 , 6.5 
M210H,M2-10H,ROCKFORD,"10” Color Optix marine 2-way system with horn tweeter
X watts RMS, X watts peak, white & stainless grilles incl.",780687354336,"$1,199.99",$720.00, 2 , 31.4 , 26.8 , 17.5 , 14.0 , 15.7 , 26.5 , 13.3 , 8.3 
M210HB,M2-10HB,ROCKFORD,"10” Color Optix marine 2-way system with horn tweeter
X watts RMS, X watts peak, black & stainless grilles incl.",780687354343,"$1,199.99",$720.00, 2 , 30.6 , 27.0 , 17.5 , 14.2 , 15.3 , 26.0 , 13.5 , 8.3 
M2TS,M2-TS,ROCKFORD,"1"" marine tweeter kit
200 watts RMS, 800 watts peak, white/stainless grilles included",780687353773,$189.99,$106.00, 10 , 25.2 , 33.0 , 10.0 , 20.0 , 2.5 , 12.5 , 12.5 , 9.0 
M16,M1-6,ROCKFORD,"6” Color Optix marine 2-way system
75 watts RMS, 300 watts peak, white grilles included",780687354275,$219.99,$121.00, 6 , 38.8 , 18.3 , 18.0 , 16.0 , 6.5 , 14.5 , 10.5 , 4.3 
M16B,M1-6B,ROCKFORD,"6” Color Optix marine 2-way system
75 watts RMS, 300 watts peak, black grilles included",780687354282,$219.99,$121.00, 6 , 38.8 , 18.0 , 18.0 , 16.0 , 6.5 , 17.5 , 9.0 , 5.0 
M165,M1-65,ROCKFORD,"6.5” Color Optix marine 2-way system
75 watts RMS, 300 watts peak, white grilles included",780687353698,$249.99,$140.00, 6 , 39.6 , 18.5 , 18.0 , 16.0 , 6.6 , 17.5 , 9.0 , 5.5 
M165B,M1-65B,ROCKFORD,"6.5” Color Optix marine 2-way system
75 watts RMS, 300 watts peak, black grilles included",780687353704,$249.99,$140.00, 6 , 38.6 , 18.0 , 18.3 , 16.0 , 6.4 , 17.5 , 8.8 , 5.0 
M18,M1-8,ROCKFORD,"8” Color Optix marine 2-way system
150 watts RMS, 600 watts peak, white grilles included",780687354299,$309.99,$169.00, 3 , 36.4 , 23.8 , 18.8 , 12.0 , 12.1 , 17.5 , 9.0 , 5.5 
M18B,M1-8B,ROCKFORD,"8” Color Optix marine 2-way system
150 watts RMS, 600 watts peak, black grilles included",780687354305,$309.99,$169.00, 3 , 36.4 , 23.5 , 19.0 , 12.0 , 12.1 , 11.0 , 11.0 , 7.0 
M065,M0-65,ROCKFORD,"6.5” marine 2-way system
65 watts RMS, 250 watts peak, white grilles included",780687353674,$129.99,$73.00, 6 , 33.4 , 18.3 , 18.0 , 16.0 , 5.6 , 17.5 , 9.0 , 5.0 
M065B,M0-65B,ROCKFORD,"6.5” marine 2-way system
65 watts RMS, 250 watts peak, black grilles included",780687353681,$129.99,$73.00, 6 , 32.8 , 18.0 , 18.3 , 16.0 , 5.5 , 17.5 , 9.0 , 5.0 
M2WL8,M2WL-8,ROCKFORD,"8” Color Optix wake tower speakers, 250W RMS, 1000W peak, white & stainless grilles, clamps incl.",780687355562,"$1,299.99",$792.00, 1 , 30.6 , 22.5 , 17.8 , 13.0 , 30.6 , 22.5 , 17.8 , 13.0 
M2WL8B,M2WL-8B,ROCKFORD,"8” Color Optix wake tower speakers, 250W RMS, 1000W peak, black & stainless grilles, clamps incl.",780687355579,"$1,299.99",$792.00, 1 , 30.4 , 22.5 , 17.8 , 12.8 , 30.4 , 22.5 , 17.8 , 12.8 
M2WL8H,M2WL-8H,ROCKFORD,"8” Color Optix horn wake tower speakers, 300W RMS, 1200W peak, white & stainless grilles, clamps incl.",780687355586,"$1,499.99",$900.00, 1 , 27.6 , 22.5 , 17.8 , 12.8 , 27.6 , 22.5 , 17.8 , 12.8 
M2WL8HB,M2WL-8HB,ROCKFORD,"8” Color Optix horn wake tower speakers, 300W RMS, 1200W peak, black & stainless grilles, clamps incl.",780687355593,"$1,499.99",$900.00, 1 , 27.6 , 23.0 , 18.0 , 13.0 , 27.6 , 23.0 , 18.0 , 13.0 
M2WL10H,M2WL-10H,ROCKFORD,"10” Color Optix marine wake tower speakers with horn tweeters
X watts RMS, X watts peak, white & stainless grilles incl.",780687355609,"$2,149.99","$1,300.00", 1 , 35.0 , 27.3 , 17.8 , 14.8 , 35.0 , 27.3 , 17.8 , 14.8 
M2WL10HB,M2WL-10HB,ROCKFORD,"10” Color Optix marine wake tower speakers with horn tweeters
X watts RMS, X watts peak, black & stainless grilles incl.",780687355616,"$2,149.99","$1,300.00", 1 , 36.2 , 28.0 , 18.0 , 15.0 , 36.2 , 28.0 , 18.0 , 15.0 
RZR24XPSTG1,RZR24XP-STG1,ROCKFORD,"PMX-1, 100 Watt, Front Audio System for select 2024+ RZR® models",780687367763,$999.99,$600.00, 1 , 25.0 , 25.0 , 20.0 , 16.0 , 25.0 , 25.0 , 20.0 , 16.0 
RZR24XPSTG6,RZR24XP-STG6,ROCKFORD,"Stage 6 Aftermarket 1,500-Watt Audio System for 2024+ RZR XP",780687366339,"$4,499.99","$2,700.00", - , - , - , - , - , - , - , - , - 
RZR24RCXPSTG6,RZR24RCXP-STG6,ROCKFORD,"Stage 6 Aftermarket 1,500-Watt Audio System for 2024+ RZR XP w/ Ride Command",780687366360,"$4,499.99","$2,700.00", - , - , - , - , - , - , - , - , - 
RZR19PXPSTG4,RZR19PXP-STG4,ROCKFORD,"PMX-2, 1500 Watt, Front Color Optix,  Speaker, Subwoofer & Rear Speaker Kit for Select Polaris® RZR PRO XP® Models",780687361730,"$2,199.99","$1,760.00", 1 , 78.0 , 28.5 , 23.5 , 37.8 , 78.0 , 28.5 , 23.5 , 37.8 
RZR19PXPSTG5,RZR19PXP-STG5,ROCKFORD,"PMX-3, 1500 Watt, Front Color Optix,  Speaker, Subwoofer & Rear Speaker Kit for Select Polaris® RZR® PRO XP® Models",780687361747,"$2,549.99","$2,030.00", 1 , 83.0 , 28.8 , 23.3 , 37.5 , 83.0 , 28.8 , 23.3 , 37.5 
RZR19RCPXPSTG4,RZR19RCPXP-STG4,ROCKFORD,"Ride Command® Interface, 1500 Watt, Front Color Optix, Speaker, Subwoofer & Rear Speaker Kit for Select Polaris® RZR PRO XP® Models",780687361761,"$1,999.99","$1,590.00", 1 , 81.0 , 28.5 , 23.5 , 37.5 , 81.0 , 28.5 , 23.5 , 37.5 
RZR19PXPRSS,RZR19PXP-RSS,ROCKFORD,RZR Pro XP4 only  Rear Subwoofer Solution,780687362294,$729.99,$435.00, 1 , 23.4 , 23.0 , 23.0 , 12.3 , 23.4 , 23.0 , 23.0 , 12.3 
RZR20PRORSS,RZR20PRO-RSS,ROCKFORD,"20+ RZR PROXP. TURBO R, PRO R, REAR SUBWOOFER",780687366391,$899.99,$528.00, 1 , 22.5 , 12.5 , 9.0 , 12.5 , 22.5 , 12.5 , 9.0 , 12.5 
RZR14STG1,RZR14-STG1,ROCKFORD,PMX-1 & front speakers kit for select RZR models,780687355111,$899.99,$572.00, 1 , 16.8 , 18.0 , 14.0 , 18.0 , 16.8 , 18.0 , 14.0 , 18.0 
RZR14STG3,RZR14-STG3,ROCKFORD,"PMX-2, 800W, Color Optix front speakers & Color Optix sub kit for select RZR models",780687355135,"$1,999.99","$1,290.00", 1 , 52.8 , 29.0 , 23.5 , 19.3 , 52.8 , 29.0 , 23.5 , 19.3 
RZR14STG4,RZR14-STG4,ROCKFORD,"PMX-2, 800W, Color Optix front speakers, Color Optix sub & Color Optix rear speakers kit for select RZR models",780687355142,"$2,649.99","$1,720.00", 1 , 69.0 , 32.0 , 19.0 , 26.0 , 69.0 , 32.0 , 19.0 , 26.0 
RZR14STG5,RZR14-STG5,ROCKFORD,"PMX-3, 1500W, Color Optix front speakers, Color Optix sub & Color Optix rear speakers kit for select RZR models",780687355159,"$3,299.99","$2,150.00", 1 , 78.0 , 31.8 , 19.0 , 26.8 , 78.0 , 31.8 , 19.0 , 26.8 
RZR14RCSTG3,RZR14RC-STG3,ROCKFORD,"800W, Color Optix front speakers & Color Optix sub kit for select Ride Command models",780687355166,"$1,649.99","$1,073.00", 1 , 48.0 , 19.0 , 19.0 , 34.0 , 48.0 , 19.0 , 19.0 , 34.0 
RZR14RCSTG4,RZR14RC-STG4,ROCKFORD,"800W, Color Optix front speakers, Color Optix sub & Color Optix rear speakers kit for select Ride Command models",780687355173,"$2,299.99","$1,500.00", 1 , 65.0 , 20.0 , 20.0 , 40.0 , 65.0 , 20.0 , 20.0 , 40.0 
RZR14RCSTG5,RZR14RC-STG5,ROCKFORD,"1500W, Color Optix front speakers, Color Optix sub & Color Optix rear speakers kit for select Ride Command models",780687355180,"$2,949.99","$1,930.00", 1 , 78.2 , 19.8 , 19.5 , 40.8 , 78.2 , 19.8 , 19.5 , 40.8 
RZR14DK,RZR14-DK,ROCKFORD,Upper/Lower Dash Kit for Most PMX Source Units on Select Polaris® RZR® Models,780687355104,$199.99,$124.00, 6 , 15.6 , 21.3 , 14.3 , 12.3 , 2.6 , 17.6 , 12.0 , 4.7 
RZR14FSE,RZR14-FSE,ROCKFORD,"Direct Fit Front Color Optix™ 6.5"" Loaded Speaker Enclosures for select Polaris® RZR® Models",780687355050,$339.99,$220.00, 1 , 5.2 , 13.3 , 12.3 , 9.8 , 5.2 , 13.3 , 12.3 , 9.8 
RZR14FWE,RZR14-FWE,ROCKFORD,"Direct Fit Front Color Optix™ 10"" Vented Loaded Subwoofer Enclosure for select Polaris® RZR® Models",780687355067,$469.99,$308.00, 1 , 9.2 , 18.0 , 18.0 , 15.0 , 9.2 , 18.0 , 18.0 , 15.0 
RZR14K4,RZR14-K4,ROCKFORD,4 AWG Amp Installation Kit for select Polaris® RZR® Models (Gen-3),780687355081,$309.99,$195.00, 3 , 32.2 , 18.0 , 12.8 , 14.0 , 10.7 , 11.4 , 7.0 , 7.0 
RZR14K8,RZR14-K8,ROCKFORD,8 AWG Amp Installation Kit for select Polaris® RZR® Models (Gen-3),780687355074,$219.99,$141.00, 3 , 26.8 , 18.3 , 13.0 , 14.3 , 8.9 , 17.5 , 4.5 , 12.5 
RFPOLRC34,RFPOL-RC34,ROCKFORD,Polaris Ride Command active noise reduction adapter for use with Stage 3 & 4 kits,780687354220,$159.99,$112.00, 60 , 38.0 , 17.5 , 13.5 , 17.8 , 0.6 , 8.5 , 4.2 , 1.7 
RFPOLRC5,RFPOL-RC5,ROCKFORD,Polaris Ride Command active noise reduction adapter for use with Stage 5 & 6 kits,780687354237,$159.99,$113.00, 60 , 41.6 , 17.8 , 13.5 , 17.8 , 0.7 , 8.5 , 4.2 , 1.7 
X317STG1,X317-STG1,ROCKFORD,PMX-1 & front speakers kit for select X3 models,780687360030,$899.99,$495.00, 1 , 18.6 , 24.5 , 16.0 , 20.5 , 18.6 , 24.5 , 16.0 , 20.5 
X317STG2,X317-STG2,ROCKFORD,"PMX-1, front speakers & rear speakers kit for select X3 models",780687360047,"$1,349.99",$880.00, 1 , 35.2 , 24.5 , 19.8 , 22.3 , 35.2 , 24.5 , 19.8 , 22.3 
X317STG3,X317-STG3,ROCKFORD,"PMX-2, 800 watt, Color Optix front speakers & subwoofer kit for select X3 models",780687360054,"$1,999.99","$1,210.00", 1 , 49.2 , 35.0 , 18.0 , 20.0 , 49.2 , 35.0 , 18.0 , 20.0 
X317STG4,X317-STG4,ROCKFORD,"PMX-2, 800 watt, Color Optix front speakers, subwoofer & Color Optix rear speakers kit for select X3 models",780687360061,"$2,949.99","$1,870.00", 1 , 64.0 , 28.0 , 17.8 , 30.0 , 64.0 , 28.0 , 17.8 , 30.0 
X317STG5,X317-STG5,ROCKFORD,"PMX-3, 1500 watt, Color Optix front speakers, dual subwoofer & Color Optix rear speakers kit for select X3 models",780687360078,"$4,049.99","$2,640.00", 1 , 94.0 , 36.5 , 26.8 , 20.3 , 94.0 , 36.5 , 26.8 , 20.3 
X317STG6,X317-STG6,ROCKFORD,"PMX-3, 1500 watt, Color Optix front speakers, dual subwoofer & Color Optix rear horn speakers kit for select X3 models",780687360085,"$4,399.99","$2,860.00", 1 , 108.0 , 33.0 , 25.0 , 28.0 , 108.0 , 33.0 , 25.0 , 28.0 
X317MAXRSS,X317MAX-RSS,ROCKFORD,1000 watt dual 10” rear sub solution for select X3 models,780687361655,"$2,049.99","$1,240.00", 1 , 48.8 , 23.3 , 21.8 , 17.8 , 48.8 , 23.3 , 21.8 , 17.8 
DEFEND17STG1,DEFEND17-STG1,ROCKFORD,Can Am Defender 2017+ Overhead Audio Solution,780687364151,$849.99,$540.00, 1 , 17.0 , 24.8 , 23.7 , 9.0 , 17.0 , 24.8 , 23.7 , 9.0 
RNGR18STG1,RNGR18-STG1,ROCKFORD,"All-In-One dash housing with PMX-1 and 5.25"" speakers for select Ranger models",780687355944,$659.99,$429.00, 1 , 8.6 , 21.0 , 12.3 , 11.0 , 8.6 , 21.0 , 12.3 , 11.0 
RNGR18STG2,RNGR18-STG2,ROCKFORD,Stereo and Front  and Rear speaker kit for select Ranger models,780687355951,"$1,199.99",$787.00, 1 , 31.0 , 23.3 , 18.5 , 19.3 , 31.0 , 23.3 , 18.5 , 19.3 
RNGR18STG3,RNGR18-STG3,ROCKFORD,"800 Watt stereo, front speaker and subwoofer kit for select Ranger models",780687355968,"$2,199.99","$1,430.00", 1 , 60.0 , 28.0 , 18.0 , 25.0 , 60.0 , 28.0 , 18.0 , 25.0 
