Make;Model;Class;Category;Description;On Hand;Availble;On Order;Committed;Defective;Sold this Year;Barcode SKU;Cost;Retail
PAC;TSB920;ACCESSORY;ADAPTER;6.5 SPEAKER ADAPTER TOY/LEXUS;1;1;3;0;0;21;012339009203;$7.77;$24.99
PAC;TSB910;ACCESSORY;ADAPTER;6x9 to 6.5 TOY/LEXUS Adapter;2;2;0;0;0;5;012339009104;$13.76;$24.99
PIONEER;TSA693FH;;;;0;0;0;0;0;;884938509473;$77.00;$139.99
PIONEER;TSA692F;SPKR;COAX;PIONEER 4-WAY 6 X 9;1;1;0;0;0;12;884938409834;$46.35;$89.99
PIONEER;TSA692C;SPKR;CMP;PIONEER COMPONENT 6X9;1;1;0;0;0;8;884938409827;$77.25;$149.99
PIONEER;TSA6901C;;;;0;0;0;0;0;;884938509459;$95.00;$189.99
PIONEER;TSA6881F;SPKR;COAX;6in. X 8in. 350-Watt 4-Way Full-Range Co;0;0;0;0;0;1;884938509442;$60.50;$119.99
PIONEER;TSA653FH;;;;0;0;0;0;0;;884938509411;$66.00;$119.99
PIONEER;TSA652F;SPKR;COAX;PIONEER 3-WAY 6.5;0;0;0;0;0;25;884938409780;$46.35;$89.99
LABOR;TRK;LABOR;;TRUNK OPENER;0;0;0;0;0;;;$0.00;$45.00
PAC;TR03;LIGHTS;GLOW;60 Truck Tailgate Light Bar Triple Row;1;1;0;0;0;;;$35.00;$79.99
INSTALLBAY;TR02;LIGHTS;LED;Tailgate Bar Double Row Led;0;0;0;0;0;0;;$25.00;$69.99
PAC;TOYK996;DASH KIT;STANDARD;DASH KIT TOYOTA SCION;1;1;0;0;0;;012339009968;$10.77;$29.99
PAC;TOYK995;DASH KIT;STANDARD;DASH KIT TOYOTA RAV4 2013-18;2;2;0;0;0;3;012339009951;$27.57;$39.99
PAC;TOYK994;DASH KIT;STANDARD;Toyota Rav-4 06-08 Double/Single Din Kit;1;1;0;0;0;3;012339009944;$13.76;$34.99
PAC;TOYK990;DASH KIT;STANDARD;2014-19 Toyota Highlander 1 & 2-Din Kit;1;1;0;0;0;3;012339009906;$27.57;$39.99
PAC;TOYK989;DASH KIT;STANDARD;DASH KIT TOYOTA HIGHLANDER;1;1;0;0;0;3;012339009890;$27.57;$49.99
PAC;TOYK988;DASH KIT;STANDARD;DASH KIT TOYOTA MATRIX DD;1;1;0;0;0;;012339009883;$9.58;$29.99
PAC;TOYK987;DASH KIT;STANDARD;DASH KIT TOYOTA MATRIX SD;1;1;0;0;0;;012339009876;$13.17;$29.99
PAC;TOYK985;DASH KIT;STANDARD;2011-14 Toyota Sienna 1 or 2 Din Kit;1;1;0;0;0;;012339009852;$27.57;$39.99
PAC;TOYK984;DASH KIT;STANDARD;DASH KIT 04-08TOY/SIENNA;1;1;0;0;0;3;012339009845;$18.78;$29.99
PAC;TOYK983S;DASH KIT;STANDARD;DASH KIT TOYOTA CAMRY 07-11;1;1;0;0;0;6;012339009838;$20.96;$34.99
PAC;TOYK982;DASH KIT;STANDARD;DASH KIT04-08TOY/SIENNA[VAN];1;1;0;0;0;;012339009821;$11.53;$29.99
PAC;TOYK981;DASH KIT;STANDARD;DASH KIT TOYOTA CAMRY 12-UP;1;1;0;0;0;;012339009814;$23.97;$29.99
PAC;TOYK980;DASH KIT;STANDARD;DASH KIT 2007-11 Toyota Camry;1;1;0;0;0;;012339009807;$17.37;$29.99
PAC;TOYK979;DASH KIT;STANDARD;DASH KIT CAMRY;1;1;0;0;0;6;012339009791;$10.76;$29.99
PAC;TOYK978;DASH KIT;ADV;DASH KIT  CAMRY SINGLR OR DBL;2;2;0;0;0;;012339009784;$48.58;$59.99
PAC;TOYK976;DASH KIT;STANDARD;DASH KIT TOYO VENZA 09-11;1;1;0;0;0;;012339009760;$17.37;$29.99
PAC;TOYK975;DASH KIT;STANDARD;DASH KIT TOYOTA 00-08;1;1;0;0;0;3;012339009753;$13.76;$29.99
PAC;TOYK973MG;DASH KIT;ADV;DASH KIT GLOSSY 12-UP T-TACOMA;1;1;0;0;0;1;012339097309;$52.16;$69.99
PAC;TOYK973;DASH KIT;STANDARD;DASH KIT 12-UP TOY OTA TACOMA;1;1;0;0;0;;012339009739;$37.77;$49.99
PAC;TOYK972S;DASH KIT;ADV;DASH KIT SILVER 05-UP TACOMA;1;1;0;0;0;4;012339097200;$31.16;$69.99
PAC;TOYK972;DASH KIT;STANDARD;DASH KIT 05-UP TOYOTA TACOMA;1;1;0;0;0;2;012339009722;$17.37;$49.99
PAC;TOYK9714;DASH KIT;STANDARD;DASH KIT TOYOTA TACOMA 2016-UP;1;1;0;0;0;1;012339097149;$23.97;$29.99
PAC;TOYK969;DASH KIT;STANDARD;DASH KIT TOYOTA;1;1;0;0;0;2;012339009692;$13.76;$29.99
PAC;TOYK968;DASH KIT;STANDARD;DASH KIT  TOYOTA TUNDRA 14-UP;1;1;0;0;0;2;012339009685;$27.57;$49.99
PAC;TOYK967MG;DASH KIT;ADV;DASH KIT GREY TUNDRA/SEQUOIA;1;1;0;0;0;;012339096722;$30.56;$59.99
PAC;TOYK967GB;DASH KIT;ADV;DASH KIT TUNDRA BLACK GLOSS;1;1;0;0;0;6;012339096715;$30.56;$59.99
PAC;TOYK967;DASH KIT;STANDARD;DASH KIT 07 TOYOTA TUNDRA;1;1;0;0;0;3;012339009678;$26.37;$44.99
PAC;TOYK966;DASH KIT;STANDARD;DASH KIT TOYOTA TUNDRA 2003;1;1;0;0;0;2;012339009661;$10.56;$29.99
PAC;TOYK964;DASH KIT;STANDARD;DASH KIT TOYOTA SOLARA;1;1;0;0;0;2;012339009647;$13.76;$29.99
PAC;TOYK962;DASH KIT;STANDARD;DASH KIT 03-08TOY 4 RUNNER LTD;1;1;0;0;0;;012339009623;$13.59;$29.99
PAC;TOYK961;DASH KIT;STANDARD;DASH KIT03-08 TOYOTA 4 RUNNER;1;1;0;0;0;2;012339009616;$8.97;$29.99
PAC;TOYK960;DASH KIT;STANDARD;DASH KIT COROLLA 03-08;1;1;0;0;0;5;012339009609;$11.41;$29.99
PAC;TOYK958;DASH KIT;STANDARD;DASH KIT03-08 TOY/COROLLA[DBL];1;1;0;0;0;3;012339009586;$8.37;$29.99
PAC;TOYK955;DASH KIT;STANDARD;DASH KIT COROLLA 96;1;1;0;0;0;1;012339009555;$13.77;$29.99
PAC;TOYK954;DASH KIT;STANDARD;DASH KIT TOYOTA AVALON;1;1;0;0;0;;012339009548;$18.52;$29.99
PAC;TOYK953;DASH KIT;STANDARD;DASH KIT 10-UP PRIUS;1;1;0;0;0;1;012339009531;$20.96;$34.99
PAC;TOYK952GB;DASH KIT;STANDARD;DASH KIT COROLLA 2017-UP;1;1;0;0;0;;012339520005;$23.97;$29.99
PAC;TOYK951MG;DASH KIT;STANDARD;DASH KIT COROLLA 14-UP;1;1;0;0;0;3;012339951007;$34.76;$59.99
PAC;TOYK949G;DASH KIT;STANDARD;DASH KIT TOY/COROLLA GRAY;0;0;0;0;0;4;012339094902;$20.96;$29.99
PAC;TOYK949;DASH KIT;STANDARD;DASH KIT 08 TOY/COROLLA[DBL];1;1;0;0;0;4;012339009494;$17.37;$29.99
PAC;TOYK944;DASH KIT;STANDARD;DASH KIT TOYTA 12 UP;1;1;0;0;0;;012339009449;$16.20;$29.99
ROCKFORD;TMS6SG;MOTORCYCLE;SPKR;ROCKFORD 98-13 HARLEY SG 6;1;1;0;0;0;2;780687345273;$261.00;$439.99
ROCKFORD;TMS6RG;MOTORCYCLE;SPKR;ROCKFORD 98-13 HARLEY RG 6;0;0;0;0;0;1;780687345266;$261.00;$439.99
ROCKFORD;TMS69BL9813;MOTORCYCLE;SPKR;ROCKFORD 6X9 BAG LID HD 98-13;0;0;0;0;0;1;780687353001;$432.00;$709.99
ROCKFORD;TMS69BL14;MOTORCYCLE;SPKR;ROCKFORD 6X9 BAG LID HD 14-UP;3;3;0;0;0;10;780687352998;$432.00;$709.99
ROCKFORD;TMS69;MOTORCYCLE;SPKR;ROCKFORD HARLEY 6X9;1;1;0;0;0;3;780687353506;$261.00;$439.99
ROCKFORD;TMS65;MOTORCYCLE;SPKR;6.5 Coaxial 14-Up Harley RG/SG;3;3;0;0;0;15;780687351465;$261.00;$439.99
ROCKFORD;TMS57;MOTORCYCLE;SPKR;ROCKFORD HARLEY RG/SG CVO 5X7;2;2;0;0;0;1;780687353018;$261.00;$439.99
FARENHEIT;TI895B;SCREEN;1DIN;In-Dash 1-DIN Motorized DVD Player;0;0;0;0;0;8;;$150.00;$239.99
DIRECTED;THVWN2;AL/RS;T-HARNESS;VW T-HARNESS FOR DS4;0;0;0;0;0;;;$58.00;$149.99
DIRECTED;THTON9;AL/RS;T-HARNESS;T-Harness Toyota/Scion/Lexus;2;2;0;0;0;1;093207104633;$60.00;$120.00
DIRECTED;THTON8;AL/RS;T-HARNESS;T-Harness Toyota/Scion/Lexus;2;2;0;0;0;1;093207104626;$60.00;$120.00
DIRECTED;THTON7;AL/RS;T-HARNESS;T-Harness Toyota/Scion/Lexus;3;3;0;0;0;3;093207104657;$60.00;$120.00
DIRECTED;THTON6;AL/RS;T-HARNESS;T-Harness Toyota/Scion/Lexus;0;0;0;0;0;6;093207104343;$60.00;$120.00
DIRECTED;THTON10;AL/RS;T-HARNESS;T-Harness Toyota/Scion/Lexus;2;2;0;0;0;;093207104640;$60.00;$120.00
DIRECTED;THSUN2;AL/RS;T-HARNESS;T-Harness Subaru;1;1;0;0;0;;093207105210;$60.00;$120.00
DIRECTED;THSUN1;AL/RS;T-HARNESS;T-Harness Subaru;0;0;0;0;0;1;093207104671;$60.00;$120.00
DIRECTED;THNIN8;AL/RS;T-HARNESS;T-Harness Nissan/Infiniti;1;1;0;0;0;;;$55.00;$120.00
DIRECTED;THNIN7;AL/RS;T-HARNESS;T-Harness Nissan/Infiniti;0;0;0;0;0;;;$55.00;$120.00
DIRECTED;THNIN6;AL/RS;T-HARNESS;T-Harness Nissan/Infiniti;1;1;0;0;0;1;093207103919;$60.00;$120.00
DIRECTED;THNIN5;AL/RS;T-HARNESS;T-Harness Nissan/Infiniti;1;1;0;0;0;;093207103902;$60.00;$120.00
DIRECTED;THNIN4;AL/RS;T-HARNESS;T-Harness Nissan/Infiniti 2007-Up;1;1;0;0;0;1;093207103599;$50.00;$99.99
DIRECTED;THNIN3;AL/RS;T-HARNESS;T-Harness Nissan/Infiniti;0;0;1;0;0;1;093207103346;$50.00;$99.99
DIRECTED;THMAN1;AL/RS;T-HARNESS;T-Harness Mazda;1;1;0;0;0;1;093207102479;$50.00;$99.99
DIRECTED;THHYN5;AL/RS;T-HARNESS;2011-2018 Key Type Hyundai/Kia T-Harness;2;2;0;0;0;;;$45.00;$69.99
DIRECTED;THHYN3;AL/RS;T-HARNESS;2011-2018 Key Type Hyundai/Kia T-Harness;2;2;2;0;0;4;093207103339;$30.00;$69.99
DIRECTED;THHON9;AL/RS;T-HARNESS;T-Harness Honda/Acura;1;1;1;0;0;;093207104602;$60.00;$119.99
DIRECTED;THHON7;AL/RS;T-HARNESS;T-Harness Honda/Acura;2;2;0;0;0;;093207104664;$60.00;$119.99
DIRECTED;THHON6;AL/RS;T-HARNESS;THARN 2006-13 Acura/Honda DS4+;1;1;0;0;0;;93207102523;$29.61;$59.99
DIRECTED;THHON4;AL/RS;T-HARNESS;THARN 2008-15 Tsx/Accord/Pilot/Odyssey;1;1;0;0;0;1;93207102509;$29.61;$59.99
DIRECTED;THHON3;AL/RS;T-HARNESS;T-Harness 2013-16 Accord/Civic/Crv/Fit;3;3;0;0;0;2;093207102493;$50.00;$99.99
DIRECTED;THHON11;AL/RS;T-HARNESS;VIPER HONDA RS T-HARN;1;1;0;0;0;;;$55.00;$119.99
DIRECTED;THHON10;AL/RS;T-HARNESS;T-Harness Honda/Acura;2;2;0;0;0;1;093207104619;$50.00;$119.99
DIRECTED;THGMN5;AL/RS;T-HARNESS;DIRECTED T-HARNESS FOR GM;2;2;1;0;0;5;093207104459;$50.00;$99.99
DIRECTED;THGMN3;AL/RS;T-HARNESS;DIRECTED T-HARNESS FOR GM;1;1;0;0;0;;093207103698;$30.00;$59.99
DIRECTED;THGMN2;AL/RS;T-HARNESS;Directed T-Harness for GM Vehicles 06-17;2;2;0;0;0;3;093207102585;$40.00;$79.99
DIRECTED;THFON2;AL/RS;T-HARNESS;DIRECTED T-HARNESS FORD 13-16;5;5;0;0;0;1;093207102561;$40.00;$79.99
DIRECTED;THFON1;AL/RS;T-HARNESS;DIRECTED THARN FORD 08-17 DS4+;2;2;0;0;0;3;093207103582;$30.00;$59.99
DIRECTED;THCHN3;AL/RS;T-HARNESS;DIRECTED T-HARNESS Chrysler;1;1;0;0;0;5;093207103186;$30.00;$59.99
DIRECTED;THCHN2;AL/RS;T-HARNESS;DIRECTED T-HARNESS CHRYSLER;2;2;0;0;0;;093207103193;$30.00;$59.99
DIRECTED;THCHN1;AL/RS;T-HARNESS;DIRECTED T-HARNESS CHRYSLER;2;2;0;0;0;;093207103209;$30.00;$59.99
IBEAM;TEWMCE;SAFETY;CAM;Universal Wireless 7 Monitor and Camera;0;0;0;0;0;1;086429407354;$202.46;$279.99
IBEAM;TETUTGC;SAFETY;CAM;Toyota Tundra Tailgate Handle Camera;1;1;0;0;0;;086429319565;$169.77;$234.99
IBEAM;TETHC;SAFETY;CAM;Through Hole Camera;1;1;0;0;0;1;086429255542;$46.16;$74.99
IBEAM;TETATUH;SAFETY;CAM;Toyota Tacoma/Tundra Tailgate Handle Cam;1;1;0;0;0;;086429367085;$120.00;$239.99
IBEAM;TETATGC;SAFETY;CAM;Toyota Tacoma Tailgate Handle Camera;1;1;0;0;0;1;086429319589;$169.77;$244.99
LABOR;TESTLABORHOUR;;;test;0;0;0;0;0;;;;$20.00
LABOR;TEST;LABOR;;TEST AMP OR HEAD UNIT;0;0;0;0;0;;;$0.00;$20.00
IBEAM;TESSC;SAFETY;CAM;Universal Small Square Vehicle Camera;1;1;0;0;0;2;086429255559;$50.09;$129.99
IBEAM;TESSA;SAFETY;CAM;Small Square Camera Front/Rear;1;1;0;0;0;;086429274932;$51.29;$124.99
LABOR;TESLA;LABOR;;XL SCREEN TESLA STYLE 10-UP;0;-1;0;1;0;;;;$379.00
IBEAM;TESBC;SAFETY;CAM;Waterproof Bullet Camera w/ Nightvision;1;1;0;0;0;2;086429255528;$50.09;$129.99
IBEAM;TERVMM;SAFETY;SCREEN;Ibeam Mirror W/4.3Screen;0;0;0;0;0;;;$93.00;$199.99
IBEAM;TERMTH;SAFETY;CAM;RAM 1500 / 2500 / 3500 TAILGATE CAMERA;0;0;0;0;0;1;086429417698;$119.65;$199.99
IBEAM;TERMH;SAFETY;CAM;Dodge RAM Tailgate Handle Camera 2002-20;1;1;0;0;0;2;086429367054;$152.72;$239.99
IBEAM;TEPSRC6;SAFETY;SENSOR;Parking Sensor 6 Meter Extension;3;3;0;0;0;;086429283668;$4.18;$19.99
MISC;TEPSRC3;ACCESSORY;;PARKING SENSOR 9FT EXTENSION;2;2;0;0;0;;;$6.00;$14.99
IBEAM;TEMIIRB;SAFETY;CAM;Black IR Fixed Angle Micro Camera;2;2;0;0;0;8;086429361052;$75.79;$144.99
METRA;TELVM9;SAFETY;SCREEN;9 Live View Streaming Rearview Mirror;1;1;0;0;0;1;086429419272;$250.00;$499.99
IBEAM;TEJPKT;SAFETY;CAM;Ibeam B- Camera Jeep Wrangler;2;1;0;0;1;7;;$98.34;$154.99
